Name,Appearance,Homeworld,Species,Gender,Affiliation,Alliance,File_Name
Thromba,[7],['Tansyl 5'],['Frigosian'],['Female'],[],,Thromba
Lepira,[4],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Gold Squadron']",Good,Lepira
Pikobi,[1],['Naboo'],[],[],[],,Pikobi
Cariso Smadis,[4],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Rebel Alliance Navy', 'Alderaanian consular security']",Good,Cariso Smadis
Lachichuk,[3],['Kashyyyk'],['Wookiee'],['Male'],"['Galactic Republic', 'Kachirho Wookiee Militia']",Good,Lachichuk
Klatooine paddy frog,[6],['Klatooine'],[],[],[],,Klatooine paddy frog
Buboicullaar,[6],[],['Frog-dog'],['Male'],"[""Jabba Desilijic Tiure's criminal empire""]",,Buboicullaar
Zal Dinnes,[4],['Tierfon'],['Human'],['Female'],"['Alliance to Restore the Republic', 'Tierfon Yellow Ace Chase Squadron', 'Red Squadron']",Good,Zal Dinnes
Sentry droid (First Order),"[7, 9]",[],['Droid'],[],['First Order'],Evil,Sentry droid (First Order)
Chirpa,[6],['Endor'],['Ewok'],['Male'],"['Bright Tree tribe', 'Council of Elders', 'Alliance to Restore the Republic']",Good,Chirpa
Tawss Khaa,[4],[],['Nimbanel'],[],[],,Tawss Khaa
1138 (First Order),[7],[],['Human'],['Male'],"['First Order', 'Stormtrooper Corps']",Evil,1138 (First Order)
Delva Racine,[3],[],[],['Female'],[],,Delva Racine
Hurst Romodi,[4],['Virujansi'],['Human'],['Male'],"['Galactic Republic', 'Republic Military', 'Galactic Empire', 'Imperial Army', 'Imperial Officer Corps']",Good,Hurst Romodi
FX-7,"[5, 6]",[],['Droid'],[],['Alliance to Restore the Republic'],Good,FX-7
Barriss Offee,[2],['Mirial'],['Mirialan'],['Female'],"['Jedi Order', 'Jedi assault team', 'Galactic Republic', 'Grand Army of the Republic']",Jedi,Barriss Offee
Ginntho,[3],['Utapau'],[],[],[],,Ginntho
Tarvyn Lareka,[4],[],['Human'],['Male'],"['Galactic Empire', 'Imperial Academy', '501st Legion', 'Imperial Starfighter Corps']",,Tarvyn Lareka
Sneep,[7],[],[],[],[],,Sneep
Nightwatcher worm,[7],['Jakku'],[],[],[],,Nightwatcher worm
FN-3181,[7],[],['Human'],['Male'],"['First Order', 'FN Corps']",Evil,FN-3181
Mott,[1],['Naboo'],[],[],[],,Mott
Nimi Chireen,[9],['Jaymir'],['Human'],['Female'],"['Resistance', 'Resistance Starfighter Corps', 'Exegol air team']",Good,Nimi Chireen
Meta,[7],[],['Human'],['Female'],['Resistance'],Good,Meta
R5-X3,[7],[],['Droid'],[],['Resistance'],Good,R5-X3
Monnok,"[4, 7, 9]",['Socorro'],[],[],[],,Monnok
Kardue'sai'Malloc,[4],['Devaron'],['Devaronian'],['Male'],[],,Kardue'sai'Malloc
2767,[1],[],['Droid'],['Masculine programming'],"['Trade Federation', 'Trade Federation Droid Army']",,2767
Ister Paddie,[2],[],['Human'],['Male'],"['Galactic Republic', 'Loyalist Committee']",Good,Ister Paddie
Fox,[8],[],[],[],[],,Fox
Drego,[7],[],['Kyuzo'],['Male'],['Niima Outpost Militia'],,Drego
Bob Hudsol,[4],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Massassi Group', 'Alliance High Command']",Good,Bob Hudsol
Tech Mo'r,[4],['Bith'],['Bith'],['Male'],"[""Figrin D'an and the Modal Nodes""]",,Tech Mo'r
Wharlithan,[8],[],[],[],[],,Wharlithan
Clegg Holdfast,[1],['New Plympto'],['Nosaurian'],['Male'],['Podracing Quarterly'],,Clegg Holdfast
Teebo,[6],[],['Ewok'],['Male'],"['Bright Tree tribe', 'Alliance to Restore the Republic']",Good,Teebo
R2-H7,[2],[],['Droid'],[],['Royal Naboo Security Forces'],,R2-H7
Unidentified male bar patron 2,[7],[],['Human'],['Male'],[],,Unidentified male bar patron 2
CZ-3,[4],[],['Droid'],[],[],,CZ-3
Droopy McCool,[6],['Kirdo III'],['Kitonak'],['Male'],['Max Rebo Band'],,Droopy McCool
Womp rat,[4],['Tatooine'],[],[],[],,Womp rat
PK-4,[1],[],['Droid'],[],[],,PK-4
Romas Navander,[5],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Alliance Military']",Good,Romas Navander
Ubbla Mollbro,[8],[],"[""Xi'Dec""]",['Female'],[],,Ubbla Mollbro
Sar Labooda,[2],['Chalacta'],"['Human', ' (Chalactan)']",['Female'],"['Jedi Order', 'Jedi assault team']",Jedi,Sar Labooda
Teemto Pagalies,[1],['Moonus Mandel'],['Veknoid'],['Male'],[],,Teemto Pagalies
Zil Topur,[2],['Mon Cala'],['Quarren'],[],"['Galactic Republic', 'Galactic Senate']",Good,Zil Topur
Malakili,[6],['Corellia'],['Human (Corellian)'],['Male'],"['Hutt circuses', 'Circus Horrificus', ""Jabba's Palace"", 'Freetown', 'Crystal Moon Restaurant']",,Malakili
Leia Skywalker Organa Solo,"[3, 4, 5, 6, 7, 8, 9]",['Alderaan'],"['Human', ' (Alderaanian)']",['Female'],"['Skywalker family', 'Elder Houses', 'House of Organa', 'Galactic Empire', 'Imperial Senate', ""Bail Organa's resistance movement"", 'Alliance to Restore the Republic', 'Heroes of Yavin', 'Alliance High Command', 'Endor strike team', 'Bright Tree tribe (honorary member)', 'Solo family', 'Jedi Order', 'New Republic', 'Security council', 'Populists', 'Resistance']",Jedi,Leia Skywalker Organa Solo
Lodent Cowell,[9],[],['Human'],['Male'],"['First Order', 'Kijimi garrison']",Evil,Lodent Cowell
Nute Gunray,"[1, 2, 3]",['Neimoidia'],['Neimoidian'],['Male'],"['Trade Federation', 'Sith', 'Confederacy of Independent Systems', 'Executive Separatist Council']",Sith,Nute Gunray
CT-0000/1010,[3],['Kamino'],['Human (clone)'],['Male'],"['Galactic Republic', '501st Legion']",Good,CT-0000_1010
Tip-yip,[6],['Endor'],[],[],[],,Tip-yip
Zuckuss,[5],['Gand'],['Gand'],['Male'],"[""Jabba Desilijic Tiure's criminal empire"", ""Bounty Hunters' Guild"", ""T'onga's crew""]",,Zuckuss
Parasite,[5],[],[],[],[],,Parasite
Lizard,"[5, 6]","['Chaaktil', 'Dagobah', 'Dathomir', 'Hissrich']",[],[],[],,Lizard
Widdle Warrick,[6],['Endor'],['Ewok'],['Male'],"['Bright Tree tribe', 'Alliance to Restore the Republic']",Good,Widdle Warrick
Wodibin,[8],['Chanceuxi'],['Suerton'],['Male'],['The Lucky Three'],,Wodibin
WED Treadwell repair droid,[9],[],['Droid'],[],"['Galactic Republic', 'Galactic Empire', 'Alliance to Restore the Republic']",Good,WED Treadwell repair droid
See,[1],['Naboo'],[],[],[],,See
Trinto Duaba,"[4, 7]",['Stennaros'],['Stennes Shifter'],['Male'],[],,Trinto Duaba
Edcel Bar Gane,[1],['Roona'],['Roonan'],['Male'],"['Galactic Republic', 'Galactic Senate']",Good,Edcel Bar Gane
Anakin Skywalker,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",['Tatooine'],['Human'],['Male'],"['Skywalker family', 'Jedi Order', 'Jedi High Council', 'Galactic Republic', '501st Legion', 'Sith', 'Galactic Empire', 'Imperial High Command', 'Death Squadron']",Mix,Anakin Skywalker
Caspus Pillar,[9],[],[],[],[],,Caspus Pillar
First Guard,[8],[],['Human'],[],"['First Order', 'Elite Praetorian Guard']",Evil,First Guard
R2-C4 (Naboo),[1],[],['Droid'],[],"['Royal House of Naboo', 'Naboo Royal Space Fighter Corps', 'Galactic Republic']",Good,R2-C4 (Naboo)
COO-2180,[2],[],['Droid'],[],[],,COO-2180
Porro Dolphe,[1],[],['Human'],['Male'],"['Royal House of Naboo', 'Bravo Flight']",,Porro Dolphe
Merumeru,[3],['Kashyyyk'],['Wookiee'],['Male'],"['Galactic Republic', 'Kachirho Wookiee Militia']",Good,Merumeru
Even Piell,"[1, 2]",['Lannik'],['Lannik'],['Male'],"['Jedi Order', 'Jedi High Council', 'Jedi assault team', 'Galactic Republic']",Jedi,Even Piell
Vicrul,"[7, 9]",[],['Human'],['Male'],"['Knights of Ren', 'Crimson Dawn', 'First Order']",Evil,Vicrul
Deak (Skywalker's friend),[4],['Tatooine'],[],[],[],,Deak (Skywalker's friend)
Begaral Moghare,[9],[],['Humanoid'],[],[],,Begaral Moghare
Nien Nunb,"[6, 7, 8, 9]",['Sullust'],['Sullustan'],['Male'],"['SoroSuub Corporation', 'House of Organa', 'Sullustan resistance', 'Alliance to Restore the Republic', 'Gold Squadron', 'New Republic', 'New Republic Defense Fleet', 'Coalstreak Squadron', 'Resistance', 'Red Squadron', '""Reb"" Squadron', 'Exegol air team']",Good,Nien Nunb
Stass Allie,"[2, 3]",['Tholoth'],['Tholothian'],['Female'],"['Jedi Order', 'Circle of Jedi Healers', 'Medical Corps', 'Jedi assault team', 'Jedi High Council', 'Galactic Republic', 'Grand Army of the Republic']",Jedi,Stass Allie
Bogwing,"[3, 5, 6]","['Aleen', 'Naboo', 'Dagobah', 'Zygerria']",[],[],[],,Bogwing
Owen Lars,"[2, 3, 4]",['Tatooine'],['Human'],['Male'],[],,Owen Lars
Unidentified Advanced Recon Force Scout Trooper officer,[3],['Kamino'],['Human (clone)'],['Male'],"['Galactic Republic', '41st Ranger Platoon']",Good,Unidentified Advanced Recon Force Scout Trooper officer
Dathcha,[4],[],['Jawa'],['Male'],[],,Dathcha
1933,[1],[],['Droid'],[],"['Trade Federation', 'Trade Federation Droid Army']",,1933
U-3PO,[4],[],['Droid'],[],"['Alderaan Diplomatic Corps', 'Alliance to Restore the Republic']",Good,U-3PO
Sifter droid,[7],[],[],[],[],,Sifter droid
R3-T2,[4],[],['Droid'],[],[],,R3-T2
Heavy loader droid,"[7, 8]",[],['Droid'],[],[],,Heavy loader droid
1138 (Trade Federation),[1],[],['Droid'],['Masculine programming'],"['Trade Federation', 'Trade Federation Droid Army']",,1138 (Trade Federation)
Repair droid,"[7, 8, 9]",[],[],[],[],,Repair droid
Tey How,[1],[],['Neimoidian'],['Female'],"['Trade Federation', 'Trade Federation fleet']",,Tey How
Jubnuk,[6],[],['Gamorrean'],['Male'],"[""Jabba Desilijic Tiure's criminal empire""]",,Jubnuk
Reptile,"[1, 2, 4, 5, 6, 9]",[],[],[],[],,Reptile
Chiraneau,[6],[],['Human'],['Male'],"['Galactic Empire', ""Imperial Navy's officer corps""]",,Chiraneau
Melee,[1],['Tatooine'],['Human'],['Female'],[],,Melee
Sudswater Dillifay Glon,[7],[],['Zenezian'],['Male'],['Shag Kava'],,Sudswater Dillifay Glon
CC-1004,[3],['Kamino'],['Human (clone)'],['Male'],"['Galactic Republic', '41st Elite Corps']",Good,CC-1004
Roodown,[7],['Abednedo'],['Abednedo'],['Male'],['Unkar Plutt'],,Roodown
Nix Jerd,[8],['Lantillies'],['Human'],['Male'],"['Resistance', 'Cobalt Squadron']",Good,Nix Jerd
Gial Ackbar,"[6, 8]",['Mon Cala'],['Mon Calamari'],['Male'],"['Mon Cala monarchy', 'Mon Calamari Guard', 'Galactic Republic', 'Galactic Empire', 'Alliance to Restore the Republic', 'Rebel Alliance Navy', 'Alliance High Command', 'New Republic', 'New Republic High Command', 'New Republic Defense Fleet', 'Resistance', 'Resistance High Command', 'Fleet Command']",Good,Gial Ackbar
Nippet,[6],['Endor'],['Ewok'],[],['Bright Tree tribe'],,Nippet
Fadros Angon,[9],[],['Human'],['Male'],['Resistance'],Good,Fadros Angon
Barghest,[7],[],[],[],[],,Barghest
Diva Funquita,[1],[],['Theelin'],['Female'],['Gardulla Besadii the Elder'],,Diva Funquita
Gorraslug,[7],[],[],[],[],,Gorraslug
Enanan Supa,[9],[],['Human'],['Female'],"['Resistance', 'Resistance Starfighter Corps']",Good,Enanan Supa
Ickabel G'ont,[4],['Bith'],['Bith'],['Female'],"[""Figrin D'an and the Modal Nodes""]",,Ickabel G'ont
Slug (creature),[4],[],[],[],[],,Slug (creature)
Quiggold,"[7, 9]",['Gabdor'],['Gabdorin'],['Male'],"[""Sidon Ithano's crew""]",,Quiggold
Loatha Sommover,[8],[],[],[],[],,Loatha Sommover
Elis Helrot,[4],[],['Givin'],['Male'],[],,Elis Helrot
Norra Wexley,[6],['Akiva'],['Human'],['Female'],"['Alliance to Restore the Republic', 'Gold Squadron', 'New Republic', ""Norra Wexley's team"", 'New Republic Senate', 'Resistance', 'Corellian Team Two']",Good,Norra Wexley
Tigran Jamiro,[5],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Alliance Military']",Good,Tigran Jamiro
LC-24 fire droid,[9],[],[],[],['Resistance'],Good,LC-24 fire droid
Peekpa,[6],[],['Ewok'],['Female'],"['New Republic', 'Digital Warfare Department']",Good,Peekpa
Unidentified transport pilot,[8],[],['Human'],['Male'],"['Resistance', 'Resistance navy']",Good,Unidentified transport pilot
Soburi Hannemtin,[8],[],['Human'],['Male'],['Canto Casino and Racetrack'],,Soburi Hannemtin
Taybin Ralorsa,[7],[],['Human'],['Female'],['Shag Kava'],,Taybin Ralorsa
Ownellco,[4],[],['Lutrillian'],[],[],,Ownellco
